Sl NO,Name,Price,Description
111,NM Natural Retro Vintage Jersey,800,"M, White with black lines, slightly loose fit"
112,NM Yellow Duck Vintage Jersey,800,"L, Yellow vintage jersey with duck graphic"
113,Westnine Grey T-shirt,800,"M, Grey basic tee"
114,Crooks & Chiefs 36 Remix Baseball Jersey,800,"M, Dark navy blue baseball jersey"
115,Giants White Red Jersey,800,"M, White and red color combo"
116,Adidas Jersey,800,"M, Classic Adidas jersey"
117,Korea Red White Jersey,800,"L, Red and white jersey"
118,NM Yellow 10B Jersey,800,"Yellow jersey with 10B prints"
119,Polo Sport Grey T-shirt,650,"M, Chest 42 all around, Shoulder 6, Sleeve 8, Length 28.2"
120,Godfather T-shirt,650,"L, Chest 48 all around, Shoulder 6.9, Sleeve 10, Length 29"
121,The North Face Blue Tee,650,"L, Chest 49 all around, Shoulder 7.5, Sleeve 8.2, Length 29"
122,Russell Athletic Black Tee,600,"M, Chest 41 all around, Shoulder 7, Sleeve 6.7, Length 27.3"
123,Carhartt Pant,850,"Waist 30/31, Workwear style pants"
124,Yankees SK White Baseball Jersey,800,"M, White baseball jersey"
125,UTU Vintage Red White Black Jersey,800,"L, Red white black jersey"
126,Tupac Black Tee,600,"M, Chest 44.8, Shoulder 6.5, Sleeve 9.2, Length 29.5"
